nombre,busqueda,ciudad,direccion,telefono,latitud,longitud,url_actual,hora_extraccion
Veterinaria Mundo Mascotas La Rivera,petshop,"Cali, Valle del Cauca","la rivera 2, Cra 2 #65-21, Comuna 5, Cali, Valle del Cauca",312 2054104,3.4355111,-76.6067928,"https://www.google.com/maps/place/Tienda+de+Mascotas/@3.4355111,-76.6067928,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a68f1204592b:0x5924d1db762a6ae8!8m2!3d3.4377017!4d-76.533956!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycGtUazVYY0hkWGJGSldVak5DYlU5RmJETmtNVXBWWkdreFZGRXlZeEFC4AEA-gEECAAQEg!16s%2Fg%2F1pyqf21xc?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:30
Perla Pets Tienda de Mascotas y Peluquería Cali,petshop,"Cali, Valle del Cauca","Cra. 41b #40-61, Union de Vivienda Popular, Cali, Valle del Cauca",310 2679451,3.4719978,-76.5618191,"https://www.google.com/maps/place/CARAMELO+PET+SHOP/@3.4719978,-76.5618191,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a7f314cd705d:0xae3aff8825deb7d8!8m2!3d3.4134545!4d-76.5088645!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOU2IxODNjVXhSRUFF4AEA-gEECAAQIg!16s%2Fg%2F11r2jstbw0?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:34
Tienda Veterinaria Canipet's,petshop,"Cali, Valle del Cauca","Dg. 26k #83-02, Marroquin II, Cali, Valle del Cauca",310 5715690,3.4134545,-76.5809623,"https://www.google.com/maps/place/Perla+Pets+Tienda+de+Mascotas+y+Peluquer%C3%ADa+Cali/@3.4134545,-76.5809623,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a72352a89155:0xd26ca5c1c9798c47!8m2!3d3.435616!4d-76.535673!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOSU5ITXRRbGgzRUFF4AEA-gEECAAQPQ!16s%2Fg%2F11t27t4tfv?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:37
Pet Shop Veterinaria,petshop,"Cali, Valle del Cauca","Cl. 33a #17c-3 #17c-77 a, Comuna 8, Cali, Valle del Cauca",302 2119295,3.4134545,-76.5809623,"https://www.google.com/maps/place/Tienda+Veterinaria+Canipet's/@3.4134545,-76.5809623,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a71496fcc43b:0x5eefb2a0dc114c09!8m2!3d3.4273729!4d-76.481111!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJZY2t4eGNGWkJFQUXgAQD6AQQIABBB!16s%2Fg%2F11kmmxqttv?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:38
Cachorritosco,petshop,"Cali, Valle del Cauca","Cl. 5 #57-30, Cuarto de Legua, Cali, Valle del Cauca",312 7030480,3.4134545,-76.5809623,"https://www.google.com/maps/place/Pet+Shop+Veterinaria/@3.4134545,-76.5809623,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a6f84597d13d:0x6daf51bc8a0f39a7!8m2!3d3.4417408!4d-76.5122517!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU01ZFZCNWRtVm5FQUXgAQD6AQQIABAS!16s%2Fg%2F11f3v7016k?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:39
Lulus PET SHOP-Tienda de Mascotas,petshop,"Cali, Valle del Cauca","Cl. 5 #57-30, Cuarto de Legua, Cali, Valle del Cauca",312 7030480,3.4134545,-76.5809623,"https://www.google.com/maps/place/Cachorritosco/@3.4134545,-76.5809623,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a6aa6f4569a3:0xb9a0159e91268ec9!8m2!3d3.4077388!4d-76.54754!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOT2VrMTJiVlZuRUFF4AEA-gEECAAQQw!16s%2Fg%2F11cff17fv?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:41
Surticampo,petshop,"Cali, Valle del Cauca","Cra. 56 #13c-34, 1 de Mayo, Cali, Valle del Cauca",315 2861646,3.4077388,-76.6196378,"https://www.google.com/maps/place/Lulus+PET+SHOP-Tienda+de+Mascotas/@3.4077388,-76.6196378,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a76a0323ac31:0x4c0cd913347fe260!8m2!3d3.4045246!4d-76.5339664!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOb09FOHpVRzFCUlJBQuABAPoBBAgAECM!16s%2Fg%2F11rycrnyxp?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:54
"Furry Land | Clínica Veterinaria, Spa & Pet shop",petshop,"Cali, Valle del Cauca","Cra. 56 #13c-34, 1 de Mayo, Cali, Valle del Cauca",310 2094444,3.4077388,-76.6196378,"https://www.google.com/maps/place/Lulus+PET+SHOP-Tienda+de+Mascotas/@3.4077388,-76.6196378,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a76a0323ac31:0x4c0cd913347fe260!8m2!3d3.4045246!4d-76.5339664!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOb09FOHpVRzFCUlJBQuABAPoBBAgAECM!16s%2Fg%2F11rycrnyxp?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:56
Lawau Pets,petshop,"Cali, Valle del Cauca","a 98a-59 Calle 42, #98a-1, Cali, Valle del Cauca",310 6596909,3.4077388,-76.6196378,"https://www.google.com/maps/place/Furry+Land+%7C+Cl%C3%ADnica+Veterinaria,+Spa+%26+Pet+shop/@3.4077388,-76.6196378,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a6aa33bfa807:0x65fa7696fb0db2f8!8m2!3d3.4082839!4d-76.5456613!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJQTm5RM01FeFJFQUXgAQD6AQQIABA8!16s%2Fg%2F11f3v0lt6c?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:57
Animaland Tienda y Spa Para Mascotas,petshop,"Cali, Valle del Cauca","Cra. 101 #13-15 Local 102, Ciudad Jardín, Cali, Valle del Cauca",322 5280950,3.4077388,-76.6196378,"https://www.google.com/maps/place/Lawau+Pets/@3.4077388,-76.6196378,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a10c00adecc3:0x85847ffb9075fbc8!8m2!3d3.3697888!4d-76.5202636!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSUE0wOXBaR1pSRUFF4AEA-gEECAAQPg!16s%2Fg%2F11fx8vbvff?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:53:58
Pets club,petshop,"Cali, Valle del Cauca","Cra. 101 #13-15 Local 102, Ciudad Jardín, Cali, Valle del Cauca",322 5280950,3.4077388,-76.6196378,"https://www.google.com/maps/place/Animaland+Tienda+y+Spa+Para+Mascotas/@3.4077388,-76.6196378,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a154d804a5fb:0xa962be8a4ae2a24c!8m2!3d3.3697814!4d-76.53704!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJDT1U5UFJ6UjNSUkFC4AEA-gEECAAQQA!16s%2Fg%2F11mq8gkqbk?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:54:00
Eps Super Plan Mascotas,petshop,"Cali, Valle del Cauca","Cra. 12 #49-25, Comuna 8, Cali, Valle del Cauca",323 3621592,3.4488138,-76.5731067,"https://www.google.com/maps/place/Pets+club/@3.4488138,-76.5731067,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a7fbeea4878b:0xfcad97f3735b5404!8m2!3d3.4488138!4d-76.5010089!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVI0Tm05bFRGaFJFQUXgAQD6AQQIABA_!16s%2Fg%2F11h07fyhyw?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:54:06
ZOOMASCOTAS,petshop,"Cali, Valle del Cauca","6 b 45, Cra. 44, Los Cambulos, Cali, Valle del Cauca",310 8925241,3.4173506,-76.6137042,"https://www.google.com/maps/place/ZOOMASCOTAS/@3.4173506,-76.6137042,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a696f7597719:0x8ff9ebe4d8332b76!8m2!3d3.4267052!4d-76.5336941!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJDYkRjeVZGbG5FQUXgAQD6AQQIABBI!16s%2Fg%2F1pzv_zb3k?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:54:08
Tienda de Animales el canario,petshop,"Cali, Valle del Cauca","Cl. 10 #32-36, Eucaristico, Cali, Valle del Cauca",25565132,3.4173506,-76.6137042,"https://www.google.com/maps/place/ZOOMASCOTAS/@3.4173506,-76.6137042,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a696f7597719:0x8ff9ebe4d8332b76!8m2!3d3.4267052!4d-76.5336941!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJDYkRjeVZGbG5FQUXgAQD6AQQIABBI!16s%2Fg%2F1pzv_zb3k?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:54:20
Tienda de mascotas Razas pets house cali,petshop,"Cali, Valle del Cauca","Cl. 10 #32-36, Eucaristico, Cali, Valle del Cauca",323 3417734,3.4173506,-76.6137042,"https://www.google.com/maps/place/ZOOMASCOTAS/@3.4173506,-76.6137042,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a696f7597719:0x8ff9ebe4d8332b76!8m2!3d3.4267052!4d-76.5336941!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJDYkRjeVZGbG5FQUXgAQD6AQQIABBI!16s%2Fg%2F1pzv_zb3k?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:54:21
FUNNY PETS,petshop,"Cali, Valle del Cauca","Cra 85B #15 - 110, El Ingenio, Cali, Valle del Cauca",315 2135138,3.4173506,-76.6137042,"https://www.google.com/maps/place/Tienda+de+mascotas+Razas+pets+house+cali/@3.4173506,-76.6137042,13z/data=!4m11!1m3!2m2!1spetshop+Cali,+Valle+del+Cauca!6e6!3m6!1s0x8e30a7cdab0fdd87:0xcebd5d79e99244db!8m2!3d3.4254605!4d-76.5318607!15sCh1wZXRzaG9wIENhbGksIFZhbGxlIGRlbCBDYXVjYVoeIhxwZXRzaG9wIGNhbGkgdmFsbGUgZGVsIGNhdWNhkgEQcGV0X3N1cHBseV9zdG9yZeABAA!16s%2Fg%2F11v3xgpm36?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:54:22
