nombre,busqueda,direccion,telefono,latitud,longitud,url_actual,hora_extraccion
Vida Animal Clínica Veterinaria,veterinarias,"Guayacanes, Cra. 23b #65-75, Manizales, Caldas",311 4379686,5.0642586,-75.5063818,"https://www.google.com/maps/place/Vida+Animal+Cl%C3%ADnica+Veterinaria/@5.0642586,-75.5063818,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e4765601893d96f:0x1cf6e2afbaa51b3f!8m2!3d5.060059!4d-75.501175!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5TZG5SWVoybFJSUkFC4AEA-gEECAAQQQ!16s%2Fg%2F11c5821px0?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:45:27
Dr Gus Veterinaria Holística,veterinarias,"Guayacanes, Cra. 23b #65-75, Manizales, Caldas",311 4379686,5.0642586,-75.5063818,"https://www.google.com/maps/place/Vida+Animal+Cl%C3%ADnica+Veterinaria/@5.0642586,-75.5063818,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e4765601893d96f:0x1cf6e2afbaa51b3f!8m2!3d5.060059!4d-75.501175!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5TZG5SWVoybFJSUkFC4AEA-gEECAAQQQ!16s%2Fg%2F11c5821px0?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:45:31
CENTRO VETERINARIO TANGO,veterinarias,"Guayacanes, Cra. 23b #65-75, Manizales, Caldas",311 4379686,5.0483886,-75.4871035,"https://www.google.com/maps/place/Dr+Gus+Veterinaria+Hol%C3%ADstica/@5.0483886,-75.4871035,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e4765cbf2784539:0xcb0137f054baa7a6!8m2!3d5.0483886!4d-75.4780913!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU4yTm1GMVdqZEJSUkFC4AEA-gEECAAQFQ!16s%2Fg%2F11n023px84?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:45:35
Tienda Animal Manizales,veterinarias,"0, Manizales, Caldas", Enviar al teléfono,5.0622045,-75.5079627,"https://www.google.com/maps/place/CENTRO+VETERINARIO+TANGO/@5.0622045,-75.5079627,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e47657f17b1fd2f:0x63ff2d7c87a9b10b!8m2!3d5.0622045!4d-75.4989505!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEPdmV0ZXJpbmFyeV9jYXJlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4xTWt0SGFVZEJFQUXgAQD6AQQIABA-!16s%2Fg%2F11c60fwtld?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:45:52
Centro Veterinario Bigotes,veterinarias,"0, Manizales, Caldas", Enviar al teléfono,5.0622045,-75.5079627,"https://www.google.com/maps/place/CENTRO+VETERINARIO+TANGO/@5.0622045,-75.5079627,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e47657f17b1fd2f:0x63ff2d7c87a9b10b!8m2!3d5.0622045!4d-75.4989505!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEPdmV0ZXJpbmFyeV9jYXJlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU4xTWt0SGFVZEJFQUXgAQD6AQQIABA-!16s%2Fg%2F11c60fwtld?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:45:55
Mascotik's CV,veterinarias,"Cra 20 #52-17 local 5, Leonora, Manizales, Caldas", Enviar al teléfono,5.0622045,-75.5079627,"https://www.google.com/maps/place/Centro+Veterinario+Bigotes/@5.0622045,-75.5079627,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476f88d9748cad:0x2e30cce4a695a094!8m2!3d5.0651821!4d-75.4953045!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEMdmV0ZXJpbmFyaWFumgEkQ2hkRFNVaE5NRzluUzBWT2RWSjRabUpuT0dOVFZqQkJSUkFC4AEA-gEECAAQRQ!16s%2Fg%2F11js8fvbj3?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:45:57
DR. PLAN •Medicina Prepagada Para Mascotas•,veterinarias,"Cra. 1 #71-13, Villamaría, Caldas",322 3192662,5.0321482,-75.4905218,"https://www.google.com/maps/place/Mascotik's+CV/@5.0321482,-75.4905218,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e47650825c3a439:0x35be2af158be9e!8m2!3d5.0321482!4d-75.4815096!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEeZW1lcmdlbmN5X3ZldGVyaW5hcmlhbl9zZXJ2aWNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJtTVdOUWJYUjNSUkFC4AEA-gEECCYQPQ!16s%2Fg%2F11c61l3fmn?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:45:59
Centro Veterinario Mr Cat,veterinarias,"Cra. 1 #71-13, Villamaría, Caldas",322 3192662,5.0321482,-75.4905218,"https://www.google.com/maps/place/Mascotik's+CV/@5.0321482,-75.4905218,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e47650825c3a439:0x35be2af158be9e!8m2!3d5.0321482!4d-75.4815096!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEeZW1lcmdlbmN5X3ZldGVyaW5hcmlhbl9zZXJ2aWNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJtTVdOUWJYUjNSUkFC4AEA-gEECCYQPQ!16s%2Fg%2F11c61l3fmn?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:46:01
Palermo Pet Spa,veterinarias,"Cl. 55 #23-33, Manizales, Caldas",311 3222538,5.0618203,-75.5028509,"https://www.google.com/maps/place/Centro+Veterinario+Mr+Cat/@5.0618203,-75.5028509,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476f3abd397cdb:0xf4570638dbcf3572!8m2!3d5.0618203!4d-75.4938387!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEMdmV0ZXJpbmFyaWFumgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0R2RXRnJPSGRUUlVacVRWaG9NazFIU2xkVVNIQnFWVWM1V1ZaVlJSQULgAQD6AQQIABBG!16s%2Fg%2F11vqv4_0pb?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:46:03
Clínica Veterinaria Kivet,veterinarias,"Cl. 55 #23-33, Manizales, Caldas",311 3222538,5.0618203,-75.5028509,"https://www.google.com/maps/place/Centro+Veterinario+Mr+Cat/@5.0618203,-75.5028509,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476f3abd397cdb:0xf4570638dbcf3572!8m2!3d5.0618203!4d-75.4938387!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEMdmV0ZXJpbmFyaWFumgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0R2RXRnJPSGRUUlVacVRWaG9NazFIU2xkVVNIQnFWVWM1V1ZaVlJSQULgAQD6AQQIABBG!16s%2Fg%2F11vqv4_0pb?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:46:08
Centro de Estética Veterinaria Sabuesos,veterinarias,"Cl. 55 #23-33, Manizales, Caldas",311 3222538,5.0618203,-75.5028509,"https://www.google.com/maps/place/Cl%C3%ADnica+Veterinaria+Kivet/@5.0618203,-75.5028509,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476fecf07e4bf3:0xd3a2ce5280f31175!8m2!3d5.0654945!4d-75.4943378!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJvYW5GVGRrNW5FQUXgAQD6AQQIABBB!16s%2Fg%2F11r9dlx5bw?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:46:10
El Labrador,veterinarias,"Cl. 55 #23-33, Manizales, Caldas",311 3222538,5.0618203,-75.5028509,"https://www.google.com/maps/place/Centro+de+Est%C3%A9tica+Veterinaria+Sabuesos/@5.0618203,-75.5028509,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e4765875ae2b539:0xc19db432b81cd275!8m2!3d5.0600103!4d-75.4742117!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEMdmV0ZXJpbmFyaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5TYlhReVlsVkJFQUXgAQD6AQQIABAl!16s%2Fg%2F11c2qjy1p6?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:46:13
"Concentrados del Centro | Mascotas, Animales de Corral",veterinarias,"Cl. 55 #23-33, Manizales, Caldas",311 3222538,5.0608129,-75.5047639,"https://www.google.com/maps/place/Concentrados+del+Centro+%7C+Mascotas,+Animales+de+Corral/@5.0608129,-75.5047639,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476f860b561323:0x9958d6068ddb516!8m2!3d5.065795!4d-75.4912661!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEKZmVlZF9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VONmREVllNbTFCUlJBQuABAPoBBAgAECM!16s%2Fg%2F11c60frtpl?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:46:15
Red Veterinaria,veterinarias,"Villa del Rio, Av. Kevin Ángel #56-120, Manizales, Caldas",606) 8852616,5.0608129,-75.5047639,"https://www.google.com/maps/place/Concentrados+del+Centro+%7C+Mascotas,+Animales+de+Corral/@5.0608129,-75.5047639,16z/data=!4m11!1m3!2m2!1sveterinarias!6e6!3m6!1s0x8e476f860b561323:0x9958d6068ddb516!8m2!3d5.065795!4d-75.4912661!15sCgx2ZXRlcmluYXJpYXNaDiIMdmV0ZXJpbmFyaWFzkgEKZmVlZF9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VONmREVllNbTFCUlJBQuABAPoBBAgAECM!16s%2Fg%2F11c60frtpl?entry=ttu&g_ep=EgoyMDI2MDQxMy4wIKXMDSoASAFQAw%3D%3D",2026-04-16 15:46:30
